industry,broken_year,location,funded_status,survival_time,cause_of_failure,dataid
E-Commerce,2018,Beijing,Series B,1825,ran out of cash,195
E-Commerce,2018,Guangdong,No Funding,1735,no investor interest,196
E-Commerce,2018,Zhejiang,Angel Round,1794,lose focus,197
E-Commerce,2018,Beijing,No Funding,1825,lose focus,198
E-Commerce,2018,Zhejiang,Series A,1613,no business model,199
E-Commerce,2018,Guangdong,Series A,1552,pivot gone bad,200
E-Commerce,2018,Zhejiang,No Funding,1674,get outcompeted,201
E-Commerce,2018,Guangdong,Angel Round,1674,no market need,202
E-Commerce,2018,Guangdong,Series A,1552,team/investors,203
E-Commerce,2018,Shanghai,No Funding,1521,no business model,204
E-Commerce,2018,Guangdong,No Funding,1613,pricing/cost issue,205
E-Commerce,2018,Guangdong,Angel Round,1521,no business model,206
E-Commerce,2018,Zhejiang,Seed Round,1582,no market need,207
E-Commerce,2018,Beijing,Angel Round,1705,product mistimed,208
E-Commerce,2018,Guangdong,Acquired,1552,burn out,209
E-Commerce,2018,Zhejiang,Angel Round,1582,no market need,210
E-Commerce,2018,Guangdong,No Funding,1825,pivot gone bad,211
E-Commerce,2018,Jiangsu,Series C,3696,team/investors,212
E-Commerce,2018,Beijing,Series A,1825,get outcompeted,213
E-Commerce,2018,Beijing,Seed Round,735,ran out of cash,214
E-Commerce,2018,Beijing,Angel Round,3990,no business model,215
E-Commerce,2018,Zhejiang,Angel Round,1065,get outcompeted,216
E-Commerce,2017,Beijing,Angel Round,1705,ran out of cash,217
E-Commerce,2017,Shanghai,Acquired,1978,pricing/cost issue,218
E-Commerce,2017,Shanghai,Angel Round,1825,no market need,219
E-Commerce,2017,Shanghai,No Funding,1947,no business model,220
E-Commerce,2017,Guangdong,No Funding,2100,no market need,221
E-Commerce,2017,Beijing,Angel Round,1766,no market need,222
E-Commerce,2017,Beijing,Series A,1978,ran out of cash,223
E-Commerce,2017,Beijing,No Funding,1613,poor product,224
E-Commerce,2017,Shaanxi,Series A,2131,no business model,225
E-Commerce,2017,Shanghai,Angel Round,1735,no business model,226
E-Commerce,2017,Guangdong,No Funding,1917,get outcompeted,227
E-Commerce,2017,Shanghai,No Funding,1340,no business model,228
E-Commerce,2017,Beijing,No Funding,1735,no business model,229
E-Commerce,2017,Zhejiang,No Funding,1886,pivot gone bad,230
E-Commerce,2017,Zhejiang,No Funding,2466,no business model,231
E-Commerce,2017,Beijing,No Funding,2160,no business model,232
E-Commerce,2017,Beijing,No Funding,2100,get outcompeted,233
E-Commerce,2017,Yunnan,No Funding,1613,no investor interest,234
E-Commerce,2017,Shanghai,Series A,1856,no market need,235
E-Commerce,2017,Beijing,No Funding,1794,no business model,236
E-Commerce,2017,Zhejiang,No Funding,2160,lose focus,237
E-Commerce,2017,Jiangsu,Series A,1491,no market need,238
E-Commerce,2017,Beijing,No Funding,2100,get outcompeted,239
E-Commerce,2017,Beijing,Series D,1978,burn out,240
E-Commerce,2017,Beijing,No Funding,1978,no business model,241
