location,broken_year,industry,funded_status,survival_time,cause_of_failure,dataid
Shanghai,2016,Local Business,No Funding,1126,no business model,187
Shanghai,2016,Finance,No Funding,3829,no business model,188
Shanghai,2016,Enterprise Service,No Funding,2975,lose focus,189
Shanghai,2016,Social Media,Angel Round,1180,no business model,190
Shanghai,2016,Local Business,Series A,1800,no business model,191
Shanghai,2016,Health,Series A,857,no market need,192
Shanghai,2016,Local Business,Series A,1100,get outcompeted,193
Shanghai,2016,Game,No Funding,1130,get outcompeted,194
Shanghai,2016,Education,Angel Round,643,product mistimed,195
Shanghai,2016,Hardware,Angel Round,1281,no market need,196
Shanghai,2016,Finance,Series A,431,no business model,197
Shanghai,2016,Travel,Series A,735,founder,198
Shanghai,2016,Social Media,Series A,1466,no market need,199
Shanghai,2016,Health,No Funding,182,no business model,200
Shanghai,2016,Travel,Series B,1466,no market need,201
Shanghai,2015,Social Media,Series B,2039,no market need,202
Shanghai,2015,E-Commerce,Series B,2374,pricing/cost issue,203
Shanghai,2015,Transportation,No Funding,1947,no business model,204
Shanghai,2015,E-Commerce,Series B,2100,pricing/cost issue,205
Shanghai,2015,Tool,No Funding,2190,get outcompeted,206
Shanghai,2015,Game,Series A,2100,get outcompeted,207
Shanghai,2015,Finance,Angel Round,2374,supervision,208
Shanghai,2015,E-Commerce,Series A,2070,ignore customers,209
Shanghai,2015,Social Media,Series A,2039,pivot gone bad,210
Shanghai,2015,Local Business,Angel Round,1856,no market need,211
Shanghai,2015,Entertainment,Series A,1886,no investor interest,212
Shanghai,2015,Local Business,Angel Round,2496,get outcompeted,213
Shanghai,2015,Education,Angel Round,2465,poor product,214
Shanghai,2015,E-Commerce,No Funding,2100,get outcompeted,215
Shanghai,2015,E-Commerce,Series A,1978,pricing/cost issue,216
Shanghai,2015,Health,No Funding,1188,no business model,217
Shanghai,2015,Social Media,No Funding,634,no market need,218
Shanghai,2015,Tool,No Funding,5687,no business model,219
Shanghai,2015,Tool,Angel Round,878,no market need,220
Shanghai,2015,Game,No Funding,694,no business model,221
Shanghai,2015,Game,No Funding,694,no business model,222
Shanghai,2015,Finance,No Funding,878,no business model,223
Shanghai,2015,Finance,No Funding,1547,no business model,224
Shanghai,2015,Social Media,No Funding,2124,no business model,225
Shanghai,2015,Local Business,No Funding,785,product mistimed,226
Shanghai,2015,Enterprise Service,No Funding,1089,pivot gone bad,227
Shanghai,2015,Social Media,No Funding,1088,no business model,228
Shanghai,2015,New Industry,No Funding,815,no business model,229
Shanghai,2015,New Industry,No Funding,1301,no business model,230
Shanghai,2015,Finance,Angel Round,1148,no business model,231
Shanghai,2015,Local Business,Series D,3722,no business model,232
Shanghai,2015,Enterprise Service,Series A,1831,get outcompeted,233
Shanghai,2014,E-Commerce,Series B,2221,get outcompeted,234
Shanghai,2014,Hardware,Series A,1071,pricing/cost issue,235
Shanghai,2014,Enterprise Service,No Funding,1160,no business model,236
Shanghai,2014,Game,No Funding,1249,no business model,237
Shanghai,2014,E-Commerce,No Funding,2251,no business model,238
Shanghai,2014,Enterprise Service,No Funding,1153,no business model,239
Shanghai,2014,Hardware,No Funding,1302,poor product,240
Shanghai,2014,Travel,Angel Round,1243,no market need,241
Shanghai,2014,Social Media,No Funding,2245,no business model,242
Shanghai,2014,Transportation,No Funding,749,get outcompeted,243
Shanghai,2014,Education,Angel Round,947,product mistimed,244
Shanghai,2014,Local Business,Angel Round,947,failure to pivot,245
Shanghai,2014,Enterprise Service,No Funding,1113,pivot gone bad,246
Shanghai,2013,Local Business,Series A,2525,no investor interest,247
Shanghai,2013,E-Commerce,No Funding,514,no business model,248
Shanghai,2013,Marketing,No Funding,1303,no business model,249
Shanghai,2013,E-Commerce,No Funding,1059,no business model,250
Shanghai,2013,Tool,Public,4954,no business model,251
Shanghai,2012,Transportation,Angel Round,2283,no business model,252
Shanghai,2012,New Industry,Series C,2556,pivot gone bad,253
Shanghai,2011,Travel,Angel Round,2374,pivot gone bad,254
Shanghai,2011,Education,Series B,1312,ran out of cash,255
Shanghai,2010,Game,Series B,907,no market need,256
Shanghai,2010,Social Media,No Funding,1270,pivot gone bad,257
Zhejiang,2019,Finance,Series A,2214,supervision,258
Zhejiang,2019,E-Commerce,No Funding,556,ran out of cash,259
Zhejiang,2019,Local Business,Seed Round,1126,no business model,260
Zhejiang,2019,Entertainment,Angel Round,1431,no business model,261
Zhejiang,2019,E-Commerce,Seed Round,638,no market need,262
Zhejiang,2019,Transportation,Series A,1431,pricing/cost issue,263
Zhejiang,2019,Entertainment,Angel Round,881,lose focus,264
Zhejiang,2019,Enterprise Service,Angel Round,1369,product mistimed,265
Zhejiang,2019,Social Media,Angel Round,1431,no business model,266
Zhejiang,2019,Tool,Pre-A Round,1492,no business model,267
Zhejiang,2019,Finance,Angel Round,730,supervision,268
Zhejiang,2019,Transportation,Series B,1065,burn out,269
Zhejiang,2019,Enterprise Service,Angel Round,1187,product mistimed,270
Zhejiang,2019,Local Business,Seed Round,912,no market need,271
Zhejiang,2019,Hardware,No Funding,1278,pricing/cost issue,272
Zhejiang,2019,Social Media,Angel Round,1553,no business model,273
Zhejiang,2019,Finance,No Funding,1431,no investor interest,274
Zhejiang,2019,Finance,Series B,1753,supervision,275
Zhejiang,2019,Finance,Series B,1927,legal challenges,276
Zhejiang,2019,Finance,Series B,1863,legal challenges,277
Zhejiang,2019,Enterprise Service,Angel Round,1394,pivot gone bad,278
Zhejiang,2019,Finance,Series A+,1627,supervision,279
Zhejiang,2018,Health,Series A,1491,burn out,280
Zhejiang,2018,E-Commerce,Angel Round,1794,lose focus,281
Zhejiang,2018,E-Commerce,Series A,1613,no business model,282
Zhejiang,2018,Finance,No Funding,1825,supervision,283
Zhejiang,2018,E-Commerce,No Funding,1674,get outcompeted,284
Zhejiang,2018,Education,Series A,1644,ran out of cash,285
Zhejiang,2018,Local Business,Angel Round,1491,no market need,286
Zhejiang,2018,Education,Angel Round,1644,no market need,287
Zhejiang,2018,Local Business,Angel Round,1613,no business model,288
Zhejiang,2018,E-Commerce,Seed Round,1582,no market need,289
Zhejiang,2018,E-Commerce,Angel Round,1582,no market need,290
Zhejiang,2018,Local Business,Angel Round,1491,get outcompeted,291
Zhejiang,2018,Entertainment,Series B,2339,ran out of cash,292
Zhejiang,2018,Hardware,Series B,1456,ran out of cash,293
Zhejiang,2018,Health,Seed Round,872,no business model,294
Zhejiang,2018,Real Estate,Angel Round,902,supervision,295
Zhejiang,2018,Finance,Series A,1288,supervision,296
Zhejiang,2018,Finance,Series A,1318,supervision,297
Zhejiang,2018,Finance,Series A,800,supervision,298
Zhejiang,2018,Finance,Series A,1105,supervision,299
Zhejiang,2018,Finance,No Funding,1285,pivot gone bad,300
Zhejiang,2018,Finance,Angel Round,1104,supervision,301
Zhejiang,2018,Enterprise Service,Series A,1070,legal challenges,302
Zhejiang,2018,Finance,Series A,1067,supervision,303
Zhejiang,2018,E-Commerce,Angel Round,1065,get outcompeted,304
Zhejiang,2017,Finance,No Funding,1521,supervision,305
Zhejiang,2017,Transportation,No Funding,1825,get outcompeted,306
Zhejiang,2017,E-Commerce,No Funding,1886,pivot gone bad,307
Zhejiang,2017,E-Commerce,No Funding,2466,no business model,308
Zhejiang,2017,Transportation,Series A,1947,get outcompeted,309
Zhejiang,2017,Local Business,Angel Round,2191,get outcompeted,310
Zhejiang,2017,E-Commerce,No Funding,2160,lose focus,311
Zhejiang,2017,Transportation,Series A,1552,get outcompeted,312
Zhejiang,2017,Social Media,Angel Round,2009,lose focus,313
Zhejiang,2017,Education,Angel Round,1947,ran out of cash,314
Zhejiang,2017,E-Commerce,Angel Round,1917,no market need,315
Zhejiang,2017,Local Business,Angel Round,4072,get outcompeted,316
Zhejiang,2017,Enterprise Service,Series A,741,no business model,317
Zhejiang,2017,Local Business,Series A,795,burn out,318
Zhejiang,2017,Local Business,Angel Round,784,pivot gone bad,319
Zhejiang,2017,Education,Angel Round,824,pivot gone bad,320
Zhejiang,2017,Entertainment,No Funding,3097,lose focus,321
Zhejiang,2017,E-Commerce,Series A,1101,failure to pivot,322
Zhejiang,2017,Enterprise Service,Series A,736,product mistimed,323
Zhejiang,2016,Tool,No Funding,2101,lose focus,324
Zhejiang,2016,Social Media,Angel Round,1979,get outcompeted,325
Zhejiang,2016,E-Commerce,Angel Round,1979,no market need,326
Zhejiang,2016,Tool,No Funding,1310,no business model,327
Zhejiang,2016,Tool,No Funding,1310,no business model,328
Zhejiang,2016,Transportation,No Funding,1301,get outcompeted,329
Zhejiang,2016,Travel,Series A,1130,no business model,330
Zhejiang,2016,Local Business,Series B,673,no market need,331
Zhejiang,2016,Finance,Series A,551,product mistimed,332
Zhejiang,2016,Entertainment,Angel Round,763,product mistimed,333
Zhejiang,2016,Entertainment,Angel Round,1401,no market need,334
Zhejiang,2015,Local Business,No Funding,1886,get outcompeted,335
Zhejiang,2015,Travel,No Funding,2190,get outcompeted,336
Zhejiang,2015,Hardware,No Funding,1947,no investor interest,337
Zhejiang,2015,Marketing,No Funding,1856,failure to pivot,338
Zhejiang,2015,Education,Series A,2343,no business model,339
Zhejiang,2015,Transportation,No Funding,1066,failure to pivot,340
Zhejiang,2015,Tool,No Funding,1034,no business model,341
Zhejiang,2015,Marketing,No Funding,999,no business model,342
Zhejiang,2015,Tool,No Funding,6204,no business model,343
Zhejiang,2015,Tool,No Funding,1576,no business model,344
Zhejiang,2015,E-Commerce,No Funding,2588,no business model,345
Zhejiang,2015,Real Estate,Angel Round,1470,pricing/cost issue,346
Zhejiang,2014,E-Commerce,No Funding,1214,no business model,347
Zhejiang,2014,E-Commerce,No Funding,3313,no business model,348
Zhejiang,2013,Hardware,Series A,1373,no investor interest,349
Zhejiang,2012,Social Media,No Funding,1010,product mistimed,350
