Id,GenderIDDesc,color
348,FEMALE,BROWN-WHT
349,UNKNOWN,TRI
350,MALE,GRAY-WHT
351,FEMALE,WHITE
352,MALE,GRAY
353,MALE,BLK-WHT
354,MALE,BROWN-BLK
355,UNKNOWN,BLK-WHT
356,FEMALE,BROWN
357,UNKNOWN,BL-BRINDLE
358,UNKNOWN,
359,UNKNOWN,BROWN-RED
360,MALE,BROWN
361,FEMALE,TRI
362,UNKNOWN,BLONDE
363,UNKNOWN,
364,MALE,BLACK-WHT
365,MALE,TAN-WHT
366,UNKNOWN,RED-WHT
367,FEMALE,YELLOW
368,UNKNOWN,
369,MALE,RED
370,UNKNOWN,
371,MALE,TAN
372,MALE,WHT-BLK
373,UNKNOWN,BLK
374,MALE,BRN-WHT
375,UNKNOWN,
376,MALE,GOLDEN-BRN
377,FEMALE,BLK
378,UNKNOWN,
379,UNKNOWN,TRI
380,MALE,BLUE
381,UNKNOWN,BLK
382,MALE,BL BRINDLE
383,FEMALE,BLACK-WHT
384,MALE,WHT
385,UNKNOWN,BRN
386,MALE,BRN-BLK
387,FEMALE,BLK-GRAY
388,MALE,BLK-WHITE
389,UNKNOWN,
390,FEMALE,RED-BROWN
391,UNKNOWN,
392,MALE,BLK-TAN
393,UNKNOWN,YELLOW
394,UNKNOWN,TORTIE
395,MALE,BLK-WHT
396,UNKNOWN,
397,UNKNOWN,BLUE-WHT
398,UNKNOWN,
399,MALE,BLK-WHT
400,MALE,BRN-WHT
401,UNKNOWN,
402,MALE,CHO.WHT.
403,UNKNOWN,
404,MALE,FAWN-WHT
405,UNKNOWN,
406,UNKNOWN,
407,UNKNOWN,
408,MALE,BLK
409,FEMALE,BLK
410,MALE,BLK-WHT
411,UNKNOWN,BLK-WHT
412,MALE,BLACK
413,MALE,WHITE
414,UNKNOWN,BLK-BRN
415,UNKNOWN,
416,MALE,BRN-GRAY
417,MALE,GRAY-WHT
418,FEMALE,CALICO
419,MALE,BRN-WHT
420,UNKNOWN,BRN-WHT
421,MALE,WHITE
422,MALE,BRN-BLK
423,MALE,YELLOW
424,UNKNOWN,
425,FEMALE,BLACK
426,UNKNOWN,
427,UNKNOWN,
428,UNKNOWN,
429,UNKNOWN,
430,MALE,BLACK
431,MALE,WHT-BLK
432,MALE,BRN-BLK
433,UNKNOWN,
434,UNKNOWN,
435,MALE,GRAY
436,MALE,BRN-WHT
437,UNKNOWN,
438,MALE,GRAY-WHT
439,MALE,BRINDLE
440,MALE,RED-WHT
441,MALE,GRAY
442,FEMALE,BLK-BRN
443,MALE,TRI
444,MALE,BLK-WHT
445,MALE,BLK-WHT
446,FEMALE,BLK
447,UNKNOWN,BLACK
448,MALE,BRN-WHT
449,FEMALE,WHT-TAN
450,FEMALE,BLK-WHT
451,UNKNOWN,BR. BRINDL
452,UNKNOWN,
453,UNKNOWN,BRN-WHT
454,MALE,BRN-SILVER
455,MALE,BLACK
456,UNKNOWN,
457,MALE,TRI
458,FEMALE,BRN
459,UNKNOWN,
460,UNKNOWN,
461,FEMALE,BLK-TAN
462,UNKNOWN,WHT-BRN-TN
463,MALE,BRN-WHT
464,FEMALE,YELLOW
465,MALE,WHT-BLK
466,UNKNOWN,TRI
467,MALE,WHT-GRAY
468,UNKNOWN,RED
469,UNKNOWN,
470,UNKNOWN,
471,FEMALE,BLK-WHT
472,MALE,BLK
473,MALE,BLK-WHT
474,UNKNOWN,BR.-BRINDL
475,MALE,TAN-WHT
476,FEMALE,BLK-WHT
