broken_year,industry,location,funded_status,survival_time,cause_of_failure,dataid
2019,Finance,Zhejiang,Series B,1863,legal challenges,277
2019,Enterprise Service,Zhejiang,Angel Round,1394,pivot gone bad,278
2019,Finance,Zhejiang,Series A+,1627,supervision,279
2018,Health,Zhejiang,Series A,1491,burn out,280
2018,E-Commerce,Zhejiang,Angel Round,1794,lose focus,281
2018,E-Commerce,Zhejiang,Series A,1613,no business model,282
2018,Finance,Zhejiang,No Funding,1825,supervision,283
2018,E-Commerce,Zhejiang,No Funding,1674,get outcompeted,284
2018,Education,Zhejiang,Series A,1644,ran out of cash,285
2018,Local Business,Zhejiang,Angel Round,1491,no market need,286
2018,Education,Zhejiang,Angel Round,1644,no market need,287
2018,Local Business,Zhejiang,Angel Round,1613,no business model,288
2018,E-Commerce,Zhejiang,Seed Round,1582,no market need,289
2018,E-Commerce,Zhejiang,Angel Round,1582,no market need,290
2018,Local Business,Zhejiang,Angel Round,1491,get outcompeted,291
2018,Entertainment,Zhejiang,Series B,2339,ran out of cash,292
2018,Hardware,Zhejiang,Series B,1456,ran out of cash,293
2018,Health,Zhejiang,Seed Round,872,no business model,294
2018,Real Estate,Zhejiang,Angel Round,902,supervision,295
2018,Finance,Zhejiang,Series A,1288,supervision,296
2018,Finance,Zhejiang,Series A,1318,supervision,297
2018,Finance,Zhejiang,Series A,800,supervision,298
2018,Finance,Zhejiang,Series A,1105,supervision,299
2018,Finance,Zhejiang,No Funding,1285,pivot gone bad,300
2018,Finance,Zhejiang,Angel Round,1104,supervision,301
2018,Enterprise Service,Zhejiang,Series A,1070,legal challenges,302
2018,Finance,Zhejiang,Series A,1067,supervision,303
2018,E-Commerce,Zhejiang,Angel Round,1065,get outcompeted,304
2017,Finance,Zhejiang,No Funding,1521,supervision,305
2017,Transportation,Zhejiang,No Funding,1825,get outcompeted,306
2017,E-Commerce,Zhejiang,No Funding,1886,pivot gone bad,307
2017,E-Commerce,Zhejiang,No Funding,2466,no business model,308
2017,Transportation,Zhejiang,Series A,1947,get outcompeted,309
2017,Local Business,Zhejiang,Angel Round,2191,get outcompeted,310
2017,E-Commerce,Zhejiang,No Funding,2160,lose focus,311
2017,Transportation,Zhejiang,Series A,1552,get outcompeted,312
2017,Social Media,Zhejiang,Angel Round,2009,lose focus,313
2017,Education,Zhejiang,Angel Round,1947,ran out of cash,314
2017,E-Commerce,Zhejiang,Angel Round,1917,no market need,315
2017,Local Business,Zhejiang,Angel Round,4072,get outcompeted,316
2017,Enterprise Service,Zhejiang,Series A,741,no business model,317
2017,Local Business,Zhejiang,Series A,795,burn out,318
2017,Local Business,Zhejiang,Angel Round,784,pivot gone bad,319
2017,Education,Zhejiang,Angel Round,824,pivot gone bad,320
2017,Entertainment,Zhejiang,No Funding,3097,lose focus,321
2017,E-Commerce,Zhejiang,Series A,1101,failure to pivot,322
2017,Enterprise Service,Zhejiang,Series A,736,product mistimed,323
2016,Tool,Zhejiang,No Funding,2101,lose focus,324
2016,Social Media,Zhejiang,Angel Round,1979,get outcompeted,325
2016,E-Commerce,Zhejiang,Angel Round,1979,no market need,326
2016,Tool,Zhejiang,No Funding,1310,no business model,327
2016,Tool,Zhejiang,No Funding,1310,no business model,328
2016,Transportation,Zhejiang,No Funding,1301,get outcompeted,329
2016,Travel,Zhejiang,Series A,1130,no business model,330
2016,Local Business,Zhejiang,Series B,673,no market need,331
2016,Finance,Zhejiang,Series A,551,product mistimed,332
2016,Entertainment,Zhejiang,Angel Round,763,product mistimed,333
2016,Entertainment,Zhejiang,Angel Round,1401,no market need,334
2015,Local Business,Zhejiang,No Funding,1886,get outcompeted,335
2015,Travel,Zhejiang,No Funding,2190,get outcompeted,336
2015,Hardware,Zhejiang,No Funding,1947,no investor interest,337
2015,Marketing,Zhejiang,No Funding,1856,failure to pivot,338
2015,Education,Zhejiang,Series A,2343,no business model,339
2015,Transportation,Zhejiang,No Funding,1066,failure to pivot,340
2015,Tool,Zhejiang,No Funding,1034,no business model,341
2015,Marketing,Zhejiang,No Funding,999,no business model,342
2015,Tool,Zhejiang,No Funding,6204,no business model,343
2015,Tool,Zhejiang,No Funding,1576,no business model,344
2015,E-Commerce,Zhejiang,No Funding,2588,no business model,345
2015,Real Estate,Zhejiang,Angel Round,1470,pricing/cost issue,346
2014,E-Commerce,Zhejiang,No Funding,1214,no business model,347
2014,E-Commerce,Zhejiang,No Funding,3313,no business model,348
2013,Hardware,Zhejiang,Series A,1373,no investor interest,349
2012,Social Media,Zhejiang,No Funding,1010,product mistimed,350
2012,Entertainment,Zhejiang,No Funding,1152,pivot gone bad,351
2010,Education,Zhejiang,Acquired,1221,pivot gone bad,352
2019,Health,Guangdong,No Funding,1887,get outcompeted,353
2019,Tool,Guangdong,Series A,914,no business model,354
2019,Local Business,Guangdong,Series A+,1603,burn out,355
2019,Health,Guangdong,No Funding,2454,no market need,356
2019,E-Commerce,Guangdong,Series A,1461,no market need,357
2019,Real Estate,Guangdong,Series A,1553,supervision,358
2019,Tool,Guangdong,Angel Round,1369,no market need,359
2019,Health,Guangdong,No Funding,1156,no business model,360
2019,Enterprise Service,Guangdong,Angel Round,1461,no market need,361
2019,Real Estate,Guangdong,Series A,1461,product mistimed,362
2019,Social Media,Guangdong,Angel Round,1612,no market need,363
2019,Local Business,Guangdong,Strategic,637,founder,364
2019,Transportation,Guangdong,Series A,764,founder,365
2019,Finance,Guangdong,Series D,2800,supervision,366
2019,Finance,Guangdong,Angel Round,3126,supervision,367
2018,Local Business,Guangdong,Angel Round,1825,no business model,368
2018,E-Commerce,Guangdong,No Funding,1735,no investor interest,369
2018,Logistics,Guangdong,Series A,1825,founder,370
2018,Sports,Guangdong,Angel Round,1766,product mistimed,371
2018,Entertainment,Guangdong,Series A+,1613,product mistimed,372
2018,Local Business,Guangdong,Series A,1644,pivot gone bad,373
2018,Transportation,Guangdong,Angel Round,1491,no market need,374
2018,E-Commerce,Guangdong,Series A,1552,pivot gone bad,375
2018,Local Business,Guangdong,No Funding,1644,pricing/cost issue,376
2018,Hardware,Guangdong,No Funding,1644,ran out of cash,377
2018,Hardware,Guangdong,Angel Round,1735,no market need,378
2018,Social Media,Guangdong,Series A,1644,product mistimed,379
2018,Health,Guangdong,No Funding,1552,no business model,380
2018,Social Media,Guangdong,Angel Round,1491,no market need,381
2018,E-Commerce,Guangdong,Angel Round,1674,no market need,382
2018,E-Commerce,Guangdong,Series A,1552,team/investors,383
2018,E-Commerce,Guangdong,No Funding,1613,pricing/cost issue,384
2018,Local Business,Guangdong,Angel Round,1766,no market need,385
2018,Sports,Guangdong,Pre-A Round,1825,ran out of cash,386
2018,Transportation,Guangdong,No Funding,1644,no market need,387
2018,E-Commerce,Guangdong,Angel Round,1521,no business model,388
2018,Social Media,Guangdong,Angel Round,1644,no market need,389
2018,E-Commerce,Guangdong,Acquired,1552,burn out,390
2018,Hardware,Guangdong,Pre-A Round,1766,product mistimed,391
2018,E-Commerce,Guangdong,No Funding,1825,pivot gone bad,392
2018,Finance,Guangdong,No Funding,1582,ran out of cash,393
2018,Social Media,Guangdong,Angel Round,1582,no investor interest,394
2018,Education,Guangdong,Angel Round,1613,lose focus,395
2018,Logistics,Guangdong,Pre-A Round,869,get outcompeted,396
2018,Sports,Guangdong,Series C,1275,product mistimed,397
2018,Finance,Guangdong,Series B,1411,supervision,398
2018,Game,Guangdong,Series B,1280,founder,399
2018,Finance,Guangdong,Series B,1280,ran out of cash,400
2018,Local Business,Guangdong,Angel Round,1006,no business model,401
2017,Entertainment,Guangdong,Angel Round,1886,no business model,402
2017,Entertainment,Guangdong,No Funding,2039,pivot gone bad,403
2017,Social Media,Guangdong,Angel Round,2039,pivot gone bad,404
2017,E-Commerce,Guangdong,No Funding,2100,no market need,405
2017,Enterprise Service,Guangdong,Angel Round,2191,get outcompeted,406
2017,Social Media,Guangdong,No Funding,1766,pivot gone bad,407
2017,Enterprise Service,Guangdong,No Funding,1886,get outcompeted,408
2017,Finance,Guangdong,Series A,1886,founder,409
2017,E-Commerce,Guangdong,No Funding,1917,get outcompeted,410
2017,Local Business,Guangdong,Angel Round,1947,pivot gone bad,411
2017,Game,Guangdong,Series A,1917,legal challenges,412
2017,Education,Guangdong,No Funding,1766,no business model,413
2017,Social Media,Guangdong,No Funding,1825,product mistimed,414
2017,Health,Guangdong,No Funding,1825,no business model,415
2017,Tool,Guangdong,Angel Round,1644,no market need,416
2017,Education,Guangdong,No Funding,1825,no business model,417
2017,New Industry,Guangdong,Series A,1552,pivot gone bad,418
2017,Logistics,Guangdong,Series D,1886,ran out of cash,419
2017,Local Business,Guangdong,Angel Round,1521,get outcompeted,420
2017,Hardware,Guangdong,Angel Round,1825,pricing/cost issue,421
2017,Finance,Guangdong,Angel Round,1825,no market need,422
2017,Travel,Guangdong,Series A,1644,get outcompeted,423
2017,E-Commerce,Guangdong,Series A,1856,no investor interest,424
2017,E-Commerce,Guangdong,Angel Round,1613,ran out of cash,425
2017,Hardware,Guangdong,No Funding,1856,pricing/cost issue,426
2017,Marketing,Guangdong,No Funding,1766,no business model,427
2017,Local Business,Guangdong,No Funding,1856,product mistimed,428
2017,E-Commerce,Guangdong,No Funding,1917,no business model,429
2017,Tool,Guangdong,No Funding,1917,pivot gone bad,430
2017,E-Commerce,Guangdong,No Funding,2070,no business model,431
2017,Hardware,Guangdong,Strategic,3272,pricing/cost issue,432
2017,Real Estate,Guangdong,Pre-A Round,822,ran out of cash,433
2017,Social Media,Guangdong,Series B,2954,poor product,434
2017,E-Commerce,Guangdong,No Funding,816,no market need,435
2017,Entertainment,Guangdong,No Funding,919,no business model,436
2017,Local Business,Guangdong,No Funding,891,no market need,437
2017,Real Estate,Guangdong,No Funding,829,get outcompeted,438
2017,Hardware,Guangdong,Series A,1038,product mistimed,439
2017,E-Commerce,Guangdong,No Funding,1007,no business model,440
2017,E-Commerce,Guangdong,No Funding,1007,no business model,441
2017,E-Commerce,Guangdong,No Funding,266,product mistimed,442
2017,E-Commerce,Guangdong,Series A,740,no investor interest,443
2017,Social Media,Guangdong,Series A,1105,no market need,444
2017,Local Business,Guangdong,Angel Round,1040,no investor interest,445
2017,Entertainment,Guangdong,Angel Round,736,lose focus,446
2017,Local Business,Guangdong,Angel Round,700,get outcompeted,447
2017,Social Media,Guangdong,Angel Round,740,no market need,448
2017,Travel,Guangdong,Angel Round,522,no business model,449
2017,Local Business,Guangdong,Pre-A Round,2192,pivot gone bad,450
2017,Social Media,Guangdong,Angel Round,976,get outcompeted,451
2017,Education,Guangdong,Angel Round,945,no business model,452
2016,Social Media,Guangdong,Angel Round,1979,no business model,453
2016,Tool,Guangdong,No Funding,1857,pivot gone bad,454
2016,Entertainment,Guangdong,No Funding,1887,product mistimed,455
2016,Marketing,Guangdong,Series B,1948,ignore customers,456
2016,Hardware,Guangdong,Series A,1918,pricing/cost issue,457
2016,Enterprise Service,Guangdong,No Funding,2132,get outcompeted,458
2016,Enterprise Service,Guangdong,No Funding,2132,pricing/cost issue,459
2016,Travel,Guangdong,Angel Round,1101,no business model,460
2016,Local Business,Guangdong,No Funding,768,no market need,461
2016,Finance,Guangdong,No Funding,764,no business model,462
2016,Enterprise Service,Guangdong,No Funding,943,no business model,463
2016,E-Commerce,Guangdong,No Funding,1245,no business model,464
2016,Social Media,Guangdong,No Funding,3036,no business model,465
2016,E-Commerce,Guangdong,Series A,765,no business model,466
2016,New Industry,Guangdong,No Funding,1191,ran out of cash,467
2016,Entertainment,Guangdong,Angel Round,1159,pivot gone bad,468
2016,Finance,Guangdong,Strategic,340,supervision,469
2015,Finance,Guangdong,Series A,2404,no business model,470
2015,E-Commerce,Guangdong,Series B,2131,get outcompeted,471
