Region of Citizenship,Name,Net Worth ($M),Rank,Age,Primary Industry
USA,Winnie Johnsonn.a.Marquart,2.5,491,52,Chemicals
Sweden,Gustaf Douglas,2.8,418,74,Manufacturing
England,Michael Ashcroft,1,1153,66,Manufacturing
USA,Tamara Gustavson,2.7,442,50,Construction
USA,Bradley Hughes,1.9,683,78,Construction
Taiwan,Tsai Mingn.a.kai,1.2,1015,0,High Tech
USA,Henry Samueli,1.8,719,57,High Tech
USA,Henry Nicholas III,1.4,913,52,High Tech
Japan,Takemitsu Takizaki,3.5,314,66,High Tech
Austria,Helmut Sohmen,1.4,913,72,Transportation
Cyprus,John Fredriksen,11.3,75,67,Transportation
Germany,Klausn.a.Michael Kuhne,9.8,95,74,Transportation
Turkey,Mubariz Gurbanoglu,1,1153,44,Transportation
Norway,Kjell Inge Rokke,2.1,601,53,Transportation
Germany,Heinzn.a.Horst Deichmann,4.1,270,85,Manufacturing
Italy,Mario Moretti Polegato,1.8,719,59,Manufacturing
Italy,Andrea Della Valle,1.1,1075,46,Manufacturing
Brazil,Jose Isaac Peres,1.5,854,70,Retail
USA,Edward DeBartolo Jr,2.3,546,65,Retail
Australia,Frank Lowy & family,4.4,242,81,Retail
Australia,John Gandel,3.2,358,77,Retail
Canada,David Azrieli & family,2.9,401,89,Retail
USA,S. Daniel Abraham,1.7,764,87,Food & Drinks
Japan,Yoshikazu Tanaka,4.3,248,35,Internet
Russia,Yuri Milner,1,1153,50,Internet
Japan,Masayoshi Son,7.2,127,54,Banking
India,Azim Premji,15.9,41,66,Software
India,N.R. Narayana Murthy & family,1.7,764,65,Software
India,Senapathy Gopalakrishnan & family,1.5,854,56,Software
India,Nandan Nilekani & family,1.4,913,56,Software
India,K. Dinesh & family,1,1153,57,Software
Israel,Gil Shwed,1.9,683,44,Software
Israel,Marius Nacht,1.2,1015,46,Software
Israel,Morris Kahn,1,1153,82,Software
Switzerland,Walter Haefner,4.3,248,101,Software
USA,Marc Benioff,2,634,47,Software
USA,Romesh T. Wadhwani,2,634,64,Software
China,Zhu Gongshan,2.1,601,54,High Tech
USA,Victor Fung & family,3.7,296,66,Finance
USA,William Connor II,1.4,913,62,Finance
USA,Dan Snyder,1.1,1075,47,Sports
USA,Jeffrey Lurie,1.1,1075,60,Sports
USA,John Henry,1.1,1075,62,Sports
USA,Tom Benson,1.1,1075,84,Sports
USA,Jeremy Jacobs Sr,2,634,72,Sports
England,Michael Ashley,2.5,491,52,Sports
USA,Malcolm Glazer & family,2.7,442,83,Sports
USA,Stanley Kroenke,3.2,358,64,Sports
USA,David Rockefeller Sr,2.5,491,96,Energy
USA,George Lucas,3.2,358,67,Media
USA,Howard Schultz,1.5,854,58,Food & Drinks
Brazil,Dorothea Steinbruch & family,4.5,232,0,Mining
China,Shen Wenrong,1.5,854,66,Mining
China,Zhang Zhixiang,1.1,1075,45,Mining
India,Lakshmi Mittal,20.7,21,61,Mining
India,Savitri Jindal & family,10.9,80,62,Mining
India,Brij Bhushan Singal,1.3,960,75,Mining
Russia,Viktor Rashnikov,5.6,183,63,Mining
Russia,Andrei Skoch,4.2,255,46,Mining
Russia,Igor Zyuzin,3.1,367,51,Mining
Russia,Andrei Klyamko,1.9,683,50,Mining
Russia,Vadim Novinsky,1.9,683,48,Mining
Spain,Jose Maria Aristrain,1.1,1075,49,Mining
Russia,Anatoly Sedykh,2,634,47,Mining
Russia,Dmitry Pumpyansky,2,634,48,Mining
Ukraine,Victor Pinchuk,4.2,255,51,Mining
Ukraine,Rinat Akhmetov,16,39,45,Mining
Russia,Alexei Mordashov,15.3,45,46,Mining
Russia,Roman Abramovich,12.1,68,45,Mining
Russia,Alexander Abramov,5.4,189,53,Mining
Russia,Alisher Usmanov,18.1,28,58,Mining
Russia,Vladimir Lisin,15.9,41,55,Mining
USA,Fred DeLuca,2.5,491,64,Food & Drinks
USA,Peter Buck,2.5,491,81,Food & Drinks
Brazil,Rubens Ometto Silveira Mello,2.7,442,62,Food & Drinks
Nigeria,Aliko Dangote,11.2,76,54,Food & Drinks
USA,James Jannard,3,377,62,Retail
Spain,Juan Roig,4.7,223,62,Retail
USA,Charles Butt & family,6.4,153,74,Retail
USA,Hank & Doug Meijer,4.9,216,0,Retail
USA,Ron Burkle,3.2,358,59,Retail
China,Robin Li,10.2,86,43,High Tech
Nigeria,Mike Adenuga,4.3,248,58,Telecom
Egypt,Naguib Sawiris,3.1,367,57,Telecom
India,Sunil Mittal & family,8.1,113,54,Telecom
India,Bhupendra Kumar Modi,1,1153,63,Telecom
Ireland,Denis O'Brien,5,205,53,Telecom
Lebanon,Najib Mikati,3,377,56,Telecom
Lebanon,Taha Mikati,3,377,67,Telecom
Mexico,Carlos Slim Helu & family,69,1,72,Telecom
Russia,Vladimir Yevtushenkov,6,166,63,Telecom
Turkey,Murat Vargi,1,1153,64,Telecom
USA,Craig McCaw,1.6,804,62,Telecom
China,Ren Zhengfei,1,1153,68,Telecom
Turkey,Mehmet Emin Karamehmet,2.9,401,67,Telecom
Russia,Gleb Fetisov,1.3,960,45,Telecom
Poland,Jan Kulczyk,2.7,442,62,Telecom
USA,Kenny Troutt,1.2,1015,64,Telecom
Malaysia,Ananda Krishnan,9.9,93,73,Telecom
USA,Haim Saban,2.9,401,67,Media
USA,Oprah Winfrey,2.7,442,58,Media
USA,A. Jerrold Perenchio,2.3,546,81,Media
USA,Edmund Ansin,1.3,960,76,Media
USA,Donald Trump,2.9,401,65,Media
France,Philippe Forieln.a.Destezet,2.4,521,76,Diversified
Netherlands,Frits Goldschmeding,2.8,418,78,Diversified
USA,Elon Musk,2,634,40,High Tech
China,Ma Jianrong & family,1.2,1015,48,Manufacturing
Malaysia,Tiong Hiew King,1.5,854,77,timber
USA,Archie Aldis Emmerson,2.6,464,82,"timberland, lumber mills"
China,Niu Yishun,1,1153,57,Manufacturing
Taiwan,Luo Jye & family,3,377,86,Manufacturing
USA,Brad Kelley,1.7,764,55,Manufacturing
Russia,Igor Kesaev,1.8,719,45,Manufacturing
Indonesia,Michael Hartono,6.3,157,72,Manufacturing
Israel,Stef Wertheimer & family,4.2,255,86,Manufacturing
Turkey,Mehmet Nazif Gunal,1,1153,64,Leisure
USA,Thomas Friedkin,1.6,804,76,Automotive
Taiwan,Chang Yung Fa & family,1.9,683,84,Transportation
Russia,Dmitry Kamenshchik,1,1153,43,Transportation
USA,Manuel Moroun & family,1.5,854,84,Transportation
Russia,Valery Kogan,1.6,804,61,Trasportation
USA,Steven Udvarn.a.Hazy,3.4,330,66,Trasportation
Switzerland,Sergio Mantegazza,2.3,546,84,Leisure
USA,Johnelle Hunt,1.6,804,80,Trasportation
Netherlands,John de Mol,2,634,57,Media
Netherlands,Joop van den Ende,1.3,960,70,Media
Poland,Zygmunt Solorzn.a.Zak,2.5,491,55,Media
USA,Robert Pera,1.5,854,34,Internet
Canada,Ronald Southern,1.2,1015,81,Energy
England,James Dyson,4.2,255,64,Manufacturing
USA,Gabe Newell,1.5,854,49,Software
USA,John Doerr,2.4,521,60,Finance
USA,Michael Moritz,1.7,764,57,Finance
USA,Kavitark Ram Shriram,1.6,804,55,Finance
USA,Sumner Redstone,4.4,242,88,Media
England,Richard Branson,4.2,255,61,Diversified
USA,Christy Walton & family,25.3,11,57,Retail
USA,Jim Walton,23.7,16,64,Retail
USA,Alice Walton,23.3,17,62,Retail
USA,S. Robson Walton,23.1,18,68,Retail
USA,Ann Walton Kroenke,3.9,288,63,Retail
USA,Nancy Walton Laurie,3.4,330,60,Retail
USA,Drayton McLane Jr,2,634,75,Retail
USA,Bob Parsons,1.5,854,61,Internet
Germany,Aloys Wobben,2.3,546,60,Energy
USA,David Filo,1.3,960,45,Internet
Spain,Amancio Ortega,37.5,5,75,Finance
Spain,Rosalia Mera,4.5,232,68,Apparel
