Region of Citizenship,Name,Net Worth ($M),Rank,Age,Primary Industry
Taiwan,Jason Chang,1.8,719,0,Electronics
Taiwan,Michael Chiang,1.1,1075,59,Electronics
Finland,Antti Herlin,2,634,55,Manufacturing
Argentina,Carlos and Alejandro Bulgheroni,5.1,199,0,Energy
Australia,Chris Wallin,1.3,960,0,Energy
China,Wang Yusuo & family,2.2,578,48,Energy
Czech Republic,Zdenek Bakala,1.9,683,51,Energy
Indonesia,Low Tuck Kwong,3.6,304,63,Energy
Indonesia,Kiki Barki,1.7,764,72,Energy
Indonesia,Edwin Soeryadjaya,1.4,913,63,Energy
Indonesia,Garibaldi Thohir,1.2,1015,46,Energy
Indonesia,Theodore Rachmat,1.1,1075,68,Energy
Russia,Leonid Mikhelson,11.9,72,56,Energy
Russia,Andrey Melnichenko,10.8,81,40,Energy
Russia,Oleg Deripaska,8.8,104,44,Energy
Russia,Andrei Guriev,3.5,314,52,Energy
Russia,Viktor Nusenkis,2.4,521,58,Energy
Russia,Vladimir Gridin & family,2,634,56,Energy
Russia,Anatoly Skurov,1.8,719,59,Energy
Russia,Igor Makarov,1.5,854,49,Energy
Russia,Mikhail Fedyaev,1,1153,49,Energy
Turkey,Ahmet Calik,1.3,960,54,Energy
Turkey,Ali Metin Kazanci,1.3,960,77,Energy
USA,Christopher Cline,1.5,854,54,Energy
USA,Robert McNair,1.5,854,75,Energy
USA,Joseph Craft III & family,1.4,913,61,Energy
USA,Manoj Bhargava,1.3,960,0,Energy
USA,Jim Justice II,1.2,1015,60,Energy
USA,Aubrey McClendon,1.1,1075,52,Energy
USA,William Moncrief Jr,1.1,1075,91,Energy
Germany,Otto Happel,2.9,401,64,Engineering
USA,Riley Bechtel,2.8,418,60,Engineering
USA,Stephen Bechtel Jr,2.8,418,86,Engineering
India,Gautam Thapar,1.4,913,51,Engineering
USA,Jack Taylor & family,10.4,84,89,Automotive
USA,Sheldon Adelson,24.9,14,78,Entertaiment
USA,Kirk Kerkorian,3.3,344,94,Entertaiment
USA,Steve Wynn,2.5,491,70,Entertaiment
USA,Phillip Ruffin,2.4,521,77,Entertaiment
Russia,Oleg Boyko,1.1,1075,47,Entertaiment
Canada,Guy Laliberte,2.6,464,52,Entertainment
China,Chen Tianqiao,1.1,1075,39,Entertaiment
USA,Leonard Lauder,7.1,131,79,Beauty Products
USA,Ronald Lauder,3.4,330,68,Beauty Products
Italy,Leonardo Del Vecchio,11.5,74,76,Manufacturing
USA,Mark Zuckerberg,17.5,35,27,Internet
USA,Dustin Moskovitz,3.5,314,27,Internet
USA,Sean Parker,2.1,601,32,Internet
USA,Eduardo Saverin,2,634,30,Internet
Italy,Giorgio Armani,7.2,127,77,Fashion
Italy,Carlo Benetton,2.1,601,68,Fashion
Italy,Gilberto Benetton,2.1,601,70,Fashion
Italy,Luciano Benetton,2.1,601,76,Fashion
Italy,Giuliana Benetton,2.1,601,74,"Fashion "
Germany,Reinhold Wurth,5.2,196,76,High Tech
USA,Frederick Smith,2.1,601,67,Distribution
Germany,August von Finck,7.8,118,82,Finance
USA,Abigail Johnson,10.3,85,50,Finance
USA,Edward Johnson III,5.8,173,81,Finance
Australia,Kerr Neilson,2.1,601,62,Finance
Australia,David Hains,2,634,81,Finance
Australia,Michael Hintze,1.4,913,58,Finance
Brazil,Lirio Parisotto,2.1,601,58,Finance
Canada,Paul Desmarais,4.3,248,85,Finance
Canada,Eric Sprott,1.1,1075,67,Finance
Canada,Gerald Schwartz,1,1153,70,Finance
Chile,Sebastian Pinera,2.4,521,62,Finance
China,Lin Li,1.4,913,48,Finance
France,Vincent Bollore,1.6,804,59,Finance
France,Marc Ladreit de Lacharriere,1,1153,71,Finance
Georgia,Bidzina Ivanishvili,6.4,153,56,Finance
India,Rakesh Jhunjhunwala,1.1,1075,51,Finance
Ireland,Dermot Desmond,1.5,854,61,Finance
New Zealand,Graeme Hart,5.7,178,56,Finance
New Zealand,Richard Chandler,4.6,230,53,Finance
New Zealand,Christopher Chandler,1,1153,52,Finance
Peru,Carlos Rodriguezn.a.Pastor,2,634,52,Finance
Poland,Michal Solowow,1.8,719,49,Finance
Poland,Leszek Czarnecki,1.3,960,50,Finance
Russia,Mikhail Prokhorov,13.2,58,46,Finance
Russia,Suleiman Kerimov,6.5,146,46,Finance
Russia,Leonid Simanovsky,1.2,1015,62,Finance
Russia,Megdet Rahimkulov,1.2,1015,66,Finance
Russia,Nikolai Maximov & family,1.2,1015,54,Finance
Russia,Alexander Lebedev,1.1,1075,52,Finance
Russia,Vladimir Gruzdev,1,1153,45,Finance
Saudi Arabia,Prince Alwaleed Bin Talal Alsaud,18,29,57,Finance
Saudi Arabia,Mohammed Al Issa,2.2,578,87,Finance
Singapore,Peter Lim,1.7,764,58,Finance
Spain,Juan Abello,2,634,70,Finance
Spain,Alberto Alcocer,1,1153,69,Finance
Spain,Alberto Cortina,1,1153,66,Finance
Sweden,Melker Schorling,3,377,64,Finance
Sweden,Thomas Sandell,1.1,1075,51,Finance
Switzerland,Stephan Schmidheiny,2.7,442,64,Finance
Taiwan,Tsai Wann.a.tsai & family,6.5,146,82,Finance
Taiwan,T.Y. Tsai,2.2,578,0,Finance
Turkey,Husnu Ozyegin,3,377,67,Finance
England,David & Simon Reuben,9,100,69,Finance
England,Joe Lewis,3.8,290,75,Finance
England,Mark Coombs,2.4,521,51,Finance
England,Alan Howard,2,634,48,Finance
England,David Harding,1.3,960,50,Finance
England,Peter Cruddas,1.3,960,58,Finance
England,Peter Hargreaves,1.3,960,65,Finance
USA,George Soros,20,22,81,Finance
USA,John Paulson,12.5,61,56,Finance
USA,James Simons,10.7,82,73,Finance
USA,Ray Dalio,10,88,62,Finance
USA,Harold Simmons,9,100,80,Finance
USA,Steve Cohen,8.3,106,56,Finance
USA,Philip Anschutz,7,133,72,Finance
USA,Eli Broad,6.3,157,78,Finance
USA,Stephen Schwarzman,5.5,184,65,Finance
USA,Ira Rennert,5.4,189,77,Finance
USA,David Tepper,5.1,199,54,Finance
USA,Robert Rowling,4.8,221,58,Finance
USA,Bruce Kovner,4.5,232,67,Finance
USA,Charles Johnson,4.5,232,79,Finance
USA,Daniel Ziff,4.2,255,40,Finance
USA,Dirk Ziff,4.2,255,47,Finance
USA,Robert Ziff,4.2,255,45,Finance
USA,Paul Tudor Jones II,3.4,330,57,Finance
USA,Edward Lampert,3.1,367,49,Finance
USA,David Shaw,3,377,60,Finance
USA,John Arnold,3,377,38,Finance
USA,Ken Griffin,3,377,43,Finance
USA,Warren Stephens,2.7,442,55,Finance
USA,Daniel Och,2.6,464,51,Finance
USA,Julian Robertson Jr,2.5,491,80,Finance
USA,Stanley Druckenmiller,2.5,491,58,Finance
USA,H. Wayne Huizenga,2.3,546,74,Finance
USA,Israel Englander,2.3,546,63,Finance
USA,Michael Milken,2.3,546,65,Finance
USA,Nicolas Berggruen,2.3,546,50,Finance
USA,Peter Kellogg,2.3,546,69,Finance
USA,Bill Gross,2.2,578,67,Finance
USA,George Lindemann & family,2.2,578,76,Finance
USA,Henry Hillman,2.2,578,93,Finance
USA,Wilbur Ross Jr,2.2,578,74,Finance
USA,Leon G. Cooperman,2,634,68,Finance
USA,Thomas Kaplan,1.8,719,49,Finance
USA,Glenn Dubin,1.7,764,54,Finance
USA,Joseph Mansueto,1.7,764,55,Finance
USA,Clemmie Spangler Jr,1.6,804,79,Finance
USA,David Gottesman,1.6,804,85,Finance
USA,James Dinan,1.6,804,52,Finance
USA,Noam Gottesman,1.6,804,50,Finance
USA,Kenneth Langone,1.5,854,76,Finance
