industry,broken_year,location,funded_status,survival_time,cause_of_failure,dataid
Enterprise Service,2017,Shanghai,Angel Round,1735,ignore customers,211
Enterprise Service,2017,Shanghai,Pre-A Round,2131,get outcompeted,212
Enterprise Service,2017,Shanghai,Angel Round,2191,ignore customers,213
Enterprise Service,2017,Shanghai,No Funding,631,pivot gone bad,214
Enterprise Service,2017,Shanghai,No Funding,631,no business model,215
Enterprise Service,2017,Shanghai,Angel Round,678,no market need,216
Enterprise Service,2016,Shanghai,Series A,1887,get outcompeted,217
Enterprise Service,2016,Shanghai,Angel Round,1918,no investor interest,218
Enterprise Service,2016,Shanghai,No Funding,1857,no business model,219
Enterprise Service,2016,Shanghai,Angel Round,1887,no business model,220
Enterprise Service,2016,Shanghai,Series B,2071,no market need,221
Enterprise Service,2016,Shanghai,No Funding,1887,no business model,222
Enterprise Service,2016,Shanghai,No Funding,1221,no business model,223
Enterprise Service,2016,Shanghai,No Funding,1036,no business model,224
Enterprise Service,2016,Shanghai,No Funding,854,no business model,225
Enterprise Service,2016,Shanghai,No Funding,2975,lose focus,226
Enterprise Service,2015,Shanghai,No Funding,1089,pivot gone bad,227
Enterprise Service,2015,Shanghai,Series A,1831,get outcompeted,228
Enterprise Service,2014,Shanghai,No Funding,1160,no business model,229
Enterprise Service,2014,Shanghai,No Funding,1153,no business model,230
Enterprise Service,2014,Shanghai,No Funding,1113,pivot gone bad,231
Hardware,2018,Shanghai,Angel Round,1582,no investor interest,232
Hardware,2016,Shanghai,Angel Round,1281,no market need,233
Hardware,2014,Shanghai,Series A,1071,pricing/cost issue,234
Hardware,2014,Shanghai,No Funding,1302,poor product,235
Sports,2018,Shanghai,Angel Round,1644,poor marketing,236
Sports,2017,Shanghai,Angel Round,2191,legal challenges,237
Travel,2018,Shanghai,Series A,1552,product mistimed,238
Travel,2018,Shanghai,Acquired,2374,product mistimed,239
Travel,2017,Shanghai,Series A+,1886,get outcompeted,240
Travel,2017,Shanghai,No Funding,1825,no business model,241
Travel,2017,Shanghai,Series C,2191,no business model,242
Travel,2017,Shanghai,Seed Round,778,no market need,243
Travel,2017,Shanghai,Pre-A Round,1101,get outcompeted,244
Travel,2017,Shanghai,Acquired,4755,no investor interest,245
Travel,2016,Shanghai,Series A,735,founder,246
Travel,2016,Shanghai,Series B,1466,no market need,247
Travel,2014,Shanghai,Angel Round,1243,no market need,248
Travel,2011,Shanghai,Angel Round,2374,pivot gone bad,249
Logistics,2018,Shanghai,Series A,1613,no investor interest,250
Logistics,2018,Shanghai,No Funding,1613,no business model,251
Logistics,2016,Shanghai,Pre-A Round,1466,poor marketing,252
Logistics,2016,Shanghai,No Funding,913,no business model,253
Agriculture,2019,Shanghai,No Funding,1394,pivot gone bad,254
New Industry,2015,Shanghai,No Funding,815,no business model,255
New Industry,2015,Shanghai,No Funding,1301,no business model,256
New Industry,2012,Shanghai,Series C,2556,pivot gone bad,257
Finance,2019,Zhejiang,Series A,2214,supervision,258
Finance,2019,Zhejiang,Angel Round,730,supervision,259
Finance,2019,Zhejiang,No Funding,1431,no investor interest,260
Finance,2019,Zhejiang,Series B,1753,supervision,261
Finance,2019,Zhejiang,Series B,1927,legal challenges,262
Finance,2019,Zhejiang,Series B,1863,legal challenges,263
Finance,2019,Zhejiang,Series A+,1627,supervision,264
Finance,2018,Zhejiang,No Funding,1825,supervision,265
Finance,2018,Zhejiang,Series A,1288,supervision,266
Finance,2018,Zhejiang,Series A,1318,supervision,267
Finance,2018,Zhejiang,Series A,800,supervision,268
Finance,2018,Zhejiang,Series A,1105,supervision,269
Finance,2018,Zhejiang,No Funding,1285,pivot gone bad,270
Finance,2018,Zhejiang,Angel Round,1104,supervision,271
Finance,2018,Zhejiang,Series A,1067,supervision,272
Finance,2017,Zhejiang,No Funding,1521,supervision,273
Finance,2016,Zhejiang,Series A,551,product mistimed,274
Health,2018,Zhejiang,Series A,1491,burn out,275
Health,2018,Zhejiang,Seed Round,872,no business model,276
E-Commerce,2019,Zhejiang,No Funding,556,ran out of cash,277
E-Commerce,2019,Zhejiang,Seed Round,638,no market need,278
